Entity,Code,Year,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Deaths - Road injuries - Sex: Both - Age: All Ages (Number),Deaths - Self-harm - Sex: Both - Age: All Ages (Number),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Deaths - Drowning - Sex: Both - Age: All Ages (Number),Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",Deaths - Poisonings - Sex: Both - Age: All Ages (Number),Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),Deaths - Intestinal infectious diseases - Sex: Both - Age: All Ages (Number),Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number)
Kenya,KEN,1992,84413,46081,69151,23586,4493,4537,5841,15453,7990,10870,4016,4589,65875,300167,39369,11976,8361,10600,3902,505,1439,42,2275,487,58,26,56,26608,9037,3076
Kenya,KEN,1993,89470,42184,78291,21750,4933,4254,6760,13903,7534,13272,4519,4420,37521,284655,34664,16556,9581,14844,3259,781,1611,240,2127,957,70,54,40,21839,9096,3070
Kenya,KEN,1994,82663,47326,79928,21144,5565,3966,6513,12943,6922,13453,7361,4966,44614,173437,24084,13861,8860,16152,2922,1012,2309,502,1624,780,26,80,44,15561,6424,2410
Kenya,KEN,1995,89403,37447,78872,21627,5976,6221,6951,14715,7365,9368,4754,4599,43200,210497,23330,17628,4859,9314,2833,1356,1421,861,1875,712,267,75,52,31442,8942,2785
Kenya,KEN,1996,88340,42377,57932,25233,5125,5686,5214,14750,8947,10021,6022,5116,25496,103350,28238,15701,6792,11859,3299,1572,2442,1401,1267,778,467,38,101,16814,5559,1682
Kenya,KEN,1997,67984,45521,50731,20124,6682,5896,6742,14710,8349,10659,8078,3930,29109,192735,26142,14126,5012,10691,2643,1610,2671,1059,1444,804,506,188,228,22371,4934,1859
Kenya,KEN,1998,68759,51313,77882,22364,7380,6518,7648,11245,6805,10967,7073,4122,39197,129314,13404,13814,5763,7427,3235,2046,2547,1233,1162,786,759,214,344,20377,5758,2086
Kenya,KEN,1999,74680,51291,74204,20667,7247,6672,7774,14823,7825,9705,6271,4296,35428,186963,23913,15306,5372,8903,1995,2254,2649,2203,1056,797,1033,106,451,13984,4322,1953
Kenya,KEN,2000,74445,54259,73025,25946,8504,6372,8253,14023,8456,8105,5537,4659,28050,189947,14479,12323,5444,7078,2103,2510,3225,2151,967,1523,795,464,497,13947,2687,1334
Kenya,KEN,2001,86316,45178,61473,25794,7211,6914,7220,14133,6448,10454,6831,4106,20265,106845,18134,13079,4016,4864,1776,2697,3600,2665,881,1388,2913,250,318,14230,1075,1595
Kenya,KEN,2002,84752,51428,58855,24703,9203,6649,8120,12652,9647,7125,5439,4618,19927,226334,11377,10125,3111,6274,2000,3019,2967,2876,751,1252,1060,185,692,10587,1026,1457
Kenya,KEN,2003,89408,43688,60304,23346,8261,8212,9546,13087,8301,7042,7424,2854,13216,61612,14250,14480,2362,6379,1737,3725,3408,2414,921,1487,2889,309,537,11153,337,1292
Kenya,KEN,2004,67417,51435,57483,25961,9783,8676,9275,13451,8417,9414,5598,4887,14048,81432,14795,12588,2453,4369,1509,3416,2911,3046,597,1100,3153,238,1188,9784,48,899
Kenya,KEN,2005,77225,48724,45603,24776,11195,5497,9147,12845,7287,8450,6487,4771,7360,124680,15343,9578,2219,4792,1287,3831,2688,2158,544,1142,2699,265,780,9965,50,776
Kenya,KEN,2006,83051,45528,47694,22912,11222,7684,9399,12148,8214,7766,6024,3322,2385,99432,10428,10320,2351,3512,1094,4196,3717,4462,431,1217,3001,952,1707,10402,42,562
Kenya,KEN,2007,84179,46725,35685,24607,10207,8612,9686,14060,7016,7317,6491,5416,1755,65749,9421,8486,778,2704,1168,4156,2584,5104,270,1545,3163,429,943,5341,43,449
Kenya,KEN,2008,70726,48331,44324,22146,11489,10108,9373,14574,8385,6970,7247,4336,98,46007,7487,8187,767,1482,820,4210,2875,4203,254,1479,5727,1902,1367,2405,58,272
Kenya,KEN,2009,80485,55109,40087,23898,14209,8701,10428,13678,7651,7569,7214,3863,186,44839,2559,7359,363,1011,563,4905,4008,4556,107,1448,1987,370,1245,1609,44,156
Kenya,KEN,2010,77460,55281,47196,28964,12380,9098,11375,11044,6985,8858,6020,4989,176,21541,4205,6522,45,171,394,5427,3575,4118,60,1704,9950,679,1883,188,57,55
Kenya,KEN,2011,80497,43984,37665,23812,13491,10493,11147,11015,10520,6517,6461,3971,159,23143,1006,6055,48,156,422,5974,4653,5086,40,1398,3216,424,2752,133,53,44
Kenya,KEN,2012,89037,44559,27674,24667,13175,9320,12063,10572,9783,6772,7785,4112,131,16752,160,6227,41,175,246,6147,4599,3451,47,1911,8194,450,2415,169,80,51
Kenya,KEN,2013,79484,43303,40750,25148,13827,9796,12750,11459,8670,7378,6261,3342,93,6738,149,4405,53,149,56,4806,3872,7631,60,1916,7292,821,1624,165,42,53
Kenya,KEN,2014,70856,59002,40298,28145,15307,9282,11712,13150,7186,8838,8459,4153,155,966,225,5680,37,139,50,5624,3854,6104,53,2139,3461,1913,2202,135,49,28
Kenya,KEN,2015,74998,52131,22982,26357,14524,9305,12434,12375,7434,7158,8684,4514,164,1308,201,3845,58,203,55,5885,4415,5196,67,1798,8666,641,2274,173,60,52
Kenya,KEN,2016,80344,50263,25655,26048,14061,10425,10869,11721,9662,6753,7398,3431,139,1213,197,3495,36,154,45,6543,3911,8200,54,1959,5337,556,2793,175,41,40
Kenya,KEN,2017,82246,47074,22077,24705,15021,9997,13825,12588,11322,6953,6419,2742,113,397,108,1982,55,150,59,7050,4090,5990,48,2226,7081,2042,1438,220,41,57
Kenya,KEN,2018,77492,47651,24645,28336,19451,10896,11600,11839,9057,7109,7027,3142,96,983,160,1857,55,139,43,7542,4028,8196,56,1774,6037,1680,3032,159,50,50
Kenya,KEN,2019,72246,51832,24568,25238,19841,12211,12820,10324,7575,6434,7385,2997,118,850,183,1020,52,180,47,7749,5007,6945,47,2227,3312,636,2546,147,55,48
Malaysia,MYS,1990,73039,47635,13696,11254,3782,2951,3314,9462,4033,5380,3375,1923,15274,10040,6914,9657,5451,3310,2551,30,1050,37,1376,331,38,44,43,6575,7595,1868
Malaysia,MYS,1991,70207,43828,20311,14397,3896,4934,3188,8305,4701,6182,2094,1916,11021,8422,7763,11486,5471,2232,2286,247,857,34,1327,338,39,19,22,7486,7410,1929
Malaysia,MYS,1992,87118,50862,19392,13021,3778,4167,3875,8198,3809,8282,3389,2148,11017,16213,6931,10905,6065,3199,2286,566,1174,35,1189,437,40,64,29,7289,4807,1678
Malaysia,MYS,1993,74652,50201,16890,14545,4621,4193,3652,8408,4334,6121,4427,3419,8286,12781,5801,11475,3781,3084,1906,766,1443,194,738,466,39,16,31,5823,6070,1736
Malaysia,MYS,1994,79727,49954,15219,14272,4598,5153,4053,8786,4034,7062,3919,2699,7056,7246,5257,10840,3828,2545,1987,1003,931,272,968,488,25,37,19,5506,5203,1303
Malaysia,MYS,1995,78624,49802,17928,15212,6034,6261,3983,9017,4175,5176,4573,2996,7145,7179,6085,10029,3326,2893,1718,1272,1576,413,1097,485,298,48,32,2810,3913,1753
Malaysia,MYS,1996,85414,40120,14082,13750,6426,5058,4611,7813,5128,5926,3277,2901,7248,11555,5345,8468,3417,2341,1499,1624,1066,672,1081,529,241,16,87,3778,2241,1205
Malaysia,MYS,1997,81092,44167,14274,13864,5964,6522,3802,7382,4994,5561,4010,1891,8998,7663,5876,10267,4064,1592,1783,2028,1357,565,742,453,541,138,191,4640,3060,1438
Malaysia,MYS,1998,95883,51085,11672,12788,8005,5305,4271,7503,4534,6047,3173,2093,7807,3680,4784,8265,3551,1924,1700,2071,1971,772,554,681,731,95,242,2896,3168,959
Malaysia,MYS,1999,79875,42254,13578,15468,6870,5597,4436,7642,4156,5578,4076,1296,5438,5523,3248,9407,2394,1809,1138,2274,1757,948,572,561,563,394,299,2732,2237,1202
Malaysia,MYS,2000,91981,46921,9120,14893,7985,7050,5684,7144,4870,6618,3041,2337,3074,6111,4464,9857,2259,1538,1515,2905,1466,1468,754,780,1220,80,406,2873,1399,990
Malaysia,MYS,2001,73843,46306,14872,11399,9731,6239,5050,8185,4425,5623,3275,2989,4994,8507,3894,7880,1825,1457,1163,2704,1397,1950,663,610,1340,205,368,2368,1274,922
Malaysia,MYS,2002,89220,48965,14693,13793,8047,6923,4481,7903,5208,6099,3716,2557,1760,6163,3607,6504,1772,1156,1125,2682,1838,1214,465,726,1824,462,602,2935,400,694
Malaysia,MYS,2003,77206,45112,11415,15485,8521,6378,6096,8116,4515,6276,3783,2381,2047,4864,2371,7400,1919,1157,935,3567,1837,883,487,924,1817,128,272,2710,179,674
Malaysia,MYS,2004,84435,46165,12830,15229,8276,6953,5128,7369,5024,5492,2821,1862,1479,5348,2777,6345,1339,945,797,3631,1986,2134,452,742,1235,144,702,1913,32,590
Malaysia,MYS,2005,81394,47876,11772,13491,11276,7783,5116,8202,4000,5712,4326,2772,924,3344,2213,7903,1415,899,819,4480,2211,1817,224,736,880,351,333,2205,32,504
Malaysia,MYS,2006,75223,50611,9763,12755,11140,7772,4743,7055,5082,5181,3813,1986,874,3126,2512,6677,1168,491,611,3937,2017,2072,249,935,2343,479,635,1468,18,444
Malaysia,MYS,2007,77215,48507,9835,13834,8279,9009,6708,7737,5718,4533,3823,3267,180,3271,1905,4380,605,614,637,4598,1959,2868,210,1031,3156,571,569,780,40,268
Malaysia,MYS,2008,79863,45821,9326,17771,12158,9243,6685,7601,4643,4580,2983,2476,40,2143,1111,3504,437,206,361,4216,2556,2057,71,827,4437,446,416,587,34,178
Malaysia,MYS,2009,73109,50313,8262,14190,11811,9744,5778,7149,5228,5287,4346,2025,24,1754,1037,5421,324,204,306,4400,1829,2655,49,897,1490,652,815,285,21,81
Malaysia,MYS,2010,72905,54999,8095,15955,13944,6780,6698,6647,5071,4773,4781,1199,32,1540,575,3916,31,30,358,5354,2502,3112,29,970,1903,612,1011,34,27,35
Malaysia,MYS,2011,80134,52030,5677,18291,13633,7503,6062,8090,5445,4706,3306,2617,32,1002,334,3587,34,33,254,5407,2810,4643,34,821,3704,1001,946,32,20,36
Malaysia,MYS,2012,86049,49472,7559,13404,15183,9545,7836,8248,4777,4529,5109,1976,29,469,33,3543,36,30,144,5016,2671,3139,41,1082,3259,272,1595,18,30,16
Malaysia,MYS,2013,80193,59051,5318,15482,16169,10592,6696,6640,4738,4753,5078,2311,41,166,31,3780,26,31,24,6258,2544,2524,28,985,3907,307,611,28,28,32
Malaysia,MYS,2014,81684,55813,6663,13480,13475,13072,7418,7771,5574,4244,4085,1450,35,36,36,3412,36,23,37,6675,2197,3621,31,1046,1900,731,1166,30,27,30
Malaysia,MYS,2015,71310,51740,5560,12146,13251,9589,7673,6692,4987,4499,4111,2440,21,38,30,1971,27,32,30,5724,2419,3976,32,917,6351,534,1499,38,29,38
Malaysia,MYS,2016,90389,47701,5328,14712,13755,9994,7646,7083,4793,3456,4565,2100,38,43,38,1892,36,38,38,5235,2586,4031,35,1027,2623,516,1742,27,22,32
Malaysia,MYS,2017,72446,52172,4512,13449,17624,11050,7765,7119,5791,3624,4294,1116,47,30,39,1451,33,31,33,7387,3256,4404,38,1302,2742,410,2234,22,34,36
Malaysia,MYS,2018,79677,48890,4515,14446,16704,8750,8441,7446,5956,3588,2560,1584,30,24,43,1335,27,22,27,6793,3252,3622,34,1500,1920,368,799,18,37,35
Malaysia,MYS,2019,87574,53426,2757,17008,19232,9675,8570,6498,4843,4038,3761,2321,33,30,38,828,24,33,33,7136,3051,3565,29,925,3676,630,1456,45,28,19
Mexico,MEX,1990,302617,187707,62881,41847,13479,16367,13760,28194,16698,28099,14532,15254,64668,46141,35318,58013,24546,12736,8797,113,3850,141,4447,1131,173,382,65,25219,20129,8936
Mexico,MEX,1991,359189,187149,74182,59436,15558,17587,12282,33252,17186,24398,16309,10823,32749,44382,29911,53616,25033,13547,9504,1090,3812,130,4722,1254,95,150,147,27235,27305,5523
Mexico,MEX,1992,351802,211050,65610,53272,16429,17513,16573,33809,15595,24596,17858,12424,42944,59501,29865,43321,12387,9320,9807,1758,5169,156,4608,1431,202,118,125,15338,17670,8138
Mexico,MEX,1993,311277,197372,61108,59193,16674,17061,12263,32145,18979,24960,14114,12092,29418,36715,22919,44273,23058,10190,7664,2997,4546,592,4518,1481,133,116,168,27723,24141,7457
Mexico,MEX,1994,358667,196986,69580,62062,20793,22632,16591,34457,15949,30720,14650,8236,40721,46508,28208,51980,18886,11139,7450,4843,4296,1271,4750,2023,226,65,137,18479,19143,4691
Mexico,MEX,1995,339228,170153,73901,59221,20938,20298,17868,38413,20919,26800,16997,10239,37548,17875,22180,29759,12727,11121,6066,5665,4934,1373,4950,1980,809,65,115,18099,20697,4848
Mexico,MEX,1996,336819,163599,40476,48625,19906,22522,16959,32450,19411,27509,15681,13939,40428,43347,21782,33049,16600,10866,6841,6440,6117,2651,4571,2654,903,102,359,11372,14293,6585
Mexico,MEX,1997,319984,205843,41892,62485,34193,23607,16510,30493,18177,24481,15720,7183,18881,41579,24864,36365,14142,8484,5607,8328,6077,3555,3709,1669,2797,129,268,15586,15214,4871
Mexico,MEX,1998,278568,183069,48362,44540,23052,29229,21105,31687,18800,21381,12490,10768,32137,34705,21128,22250,9723,8205,6220,8101,5932,4087,3370,2811,2469,621,390,12602,8502,5153
Mexico,MEX,1999,284251,179118,45681,63747,29950,24944,17028,31239,19358,26058,18588,8219,26667,32102,14847,34561,11513,5981,5170,8486,6194,4485,2984,2228,6003,405,961,15291,8190,4614
Mexico,MEX,2000,327850,186884,57348,63304,31301,26222,22566,34371,17351,23017,18451,15574,17707,20552,15619,33948,13229,6217,4779,9669,6712,7043,3159,2756,2317,325,2052,13692,8787,4719
Mexico,MEX,2001,352885,188717,49525,59664,31554,24747,22175,34572,18202,22856,15125,10401,22026,35075,16325,27559,8856,5175,5195,9733,6923,5927,2299,2343,5873,1114,780,12484,3931,3298
Mexico,MEX,2002,316856,179782,51819,56986,35202,28291,21744,32366,19432,22039,15028,8197,15186,20137,11624,31575,7705,4810,5365,13184,6446,5928,2542,2721,6867,1224,2315,11205,2704,2909
Mexico,MEX,2003,297023,179229,46080,64486,30047,30341,20821,31685,17852,20610,16767,10160,15004,22819,13336,25263,7267,2896,4456,12702,9243,5160,2212,2844,4180,1616,1560,12759,577,2578
Mexico,MEX,2004,318420,221613,56599,55700,36737,27883,23391,28870,23024,20320,15725,11906,9137,11656,10969,29488,6724,3877,3391,14651,4791,9562,1825,2782,6057,1803,1536,9684,117,1841
Mexico,MEX,2005,341182,191897,44192,57724,46718,31145,27154,34566,19293,24025,15141,7783,7960,12990,9672,29367,5636,3682,3096,15529,8415,8796,1237,3604,8175,650,2213,6380,159,1515
Mexico,MEX,2006,327230,209672,42002,58683,42567,31542,23217,31426,15968,21759,15284,7200,3877,11229,5623,20647,3662,3138,3095,16245,7744,4550,1300,3733,5105,1942,2592,5411,173,1344
Mexico,MEX,2007,338959,185845,46311,56850,42121,28390,18020,31289,17732,17173,15263,6132,1284,9717,5740,22199,2873,2274,2031,18109,7066,9450,835,3824,7808,2711,3536,4271,135,1325
Mexico,MEX,2008,301893,188883,39143,46850,44033,38518,28894,28692,19543,16448,15830,5650,120,10108,5108,19211,1727,1253,2349,21637,9266,13250,555,3925,12226,3410,3927,1300,137,750
Mexico,MEX,2009,278338,220689,37058,64924,47224,37458,25132,31218,18343,19382,21389,12856,161,13766,3372,18572,1180,651,1822,19606,10776,11214,319,3650,5110,2211,1964,1249,122,320
Mexico,MEX,2010,367001,218409,27696,61543,58033,32107,25932,30338,22234,21571,13013,7111,109,4010,2131,19122,129,145,1068,20144,4550,8374,141,2978,15905,975,3590,123,138,156
Mexico,MEX,2011,369923,195093,21628,59279,56621,34103,23800,28012,18711,16951,15846,9478,147,6274,1015,19742,110,166,834,20460,11542,7655,124,2355,5525,1040,4879,143,130,160
Mexico,MEX,2012,251408,200073,24138,62889,56931,36287,27606,27696,19650,19448,21594,7753,106,2655,144,13313,147,121,628,22269,12534,11242,137,3353,13816,1105,4386,148,140,157
Mexico,MEX,2013,314560,213796,26046,70787,61763,40806,29662,30321,22728,18613,16286,9370,120,492,105,14434,118,183,134,24246,10464,11333,125,4673,10642,3633,4531,121,148,132
Mexico,MEX,2014,338546,216508,25666,65052,68752,41854,33362,28825,21840,18536,14451,7114,129,70,140,10841,118,130,141,25421,11328,18400,188,4600,6500,4315,6965,124,115,135
Mexico,MEX,2015,307604,201955,23000,65484,68738,45954,32878,25850,19459,19818,14715,7628,134,159,145,9370,81,139,127,20647,11303,14290,154,4529,22193,1407,4617,86,94,158
Mexico,MEX,2016,280766,221893,12856,64403,61765,37965,31274,27281,26383,16961,15456,8248,100,65,157,7463,112,136,139,27077,12934,19104,109,5116,12844,1365,4749,146,166,133
Mexico,MEX,2017,287775,197622,19300,61681,59035,50842,28630,28375,20019,16065,18593,9488,89,72,139,5994,132,115,129,25742,9906,12797,140,4557,22769,2355,4206,163,97,114
Mexico,MEX,2018,305158,207074,13324,65121,58128,46552,31737,28680,20394,14258,16479,10257,187,104,170,5573,127,125,118,32560,9263,16817,104,3874,24771,3598,6441,183,124,120
Mexico,MEX,2019,272243,214723,13620,57480,71647,52132,33068,28025,22735,15328,20930,8647,181,121,178,2300,127,114,99,29252,12492,23998,146,4793,18756,3552,5073,122,98,97
Morocco,MAR,1990,85499,54328,19112,17218,2987,5035,3533,11722,4347,7944,4858,3236,11801,12582,9625,17847,7856,3223,2234,30,1137,20,1389,376,50,86,48,9008,10247,2241
Morocco,MAR,1991,74215,54284,21942,14405,3916,4850,4463,8690,4727,8840,3517,3680,14250,11061,7229,10995,4830,3778,2704,292,1038,42,1088,449,33,18,20,8125,6857,2183
Morocco,MAR,1992,103343,59246,17400,14741,5214,4846,3957,8043,6065,7376,3039,3846,10907,13766,7512,12566,5881,2698,2418,614,925,33,1437,454,18,18,29,6357,3928,2291
Morocco,MAR,1993,86530,51222,21689,13104,4799,5170,4128,10769,6596,8453,3820,3276,11593,8844,6829,14182,2516,3304,2123,1183,1404,207,1184,367,38,30,53,7213,6089,1246
Morocco,MAR,1994,100720,54761,14045,15181,5147,6091,4427,8364,4607,8006,4571,3391,9769,15583,5508,9953,3864,2863,2102,1067,1614,326,1106,553,56,29,25,6132,5375,1707
Morocco,MAR,1995,87120,52009,18639,12928,5642,5408,5072,9667,6065,7989,4088,2265,9736,12485,5996,10502,4006,2204,2231,1193,1872,547,914,458,171,54,35,6397,2720,1278
Morocco,MAR,1996,95494,51548,17574,16588,5881,5671,5405,9805,4966,7654,4493,3545,9365,11352,4508,12305,3675,2124,1893,1807,1438,643,905,636,222,67,49,6168,3045,1428
Morocco,MAR,1997,90184,60906,18134,14911,6389,6819,5391,7910,5346,6801,4539,3594,8638,10404,6474,9087,2413,2282,1190,1731,1648,1051,1118,649,507,65,136,4919,3735,1568
Morocco,MAR,1998,83154,55040,20713,17232,6711,6239,5559,9015,5265,8344,4803,2155,8842,7668,3668,9792,3922,2607,1636,2523,2096,1480,944,721,370,133,192,3191,4436,1640
Morocco,MAR,1999,78455,50474,16051,15519,8771,7467,5734,8625,5880,7350,4461,1992,7066,9958,4043,8753,2287,2220,1956,2635,1710,1767,791,512,787,75,186,3877,3062,924
Morocco,MAR,2000,85880,56134,11660,13227,9179,7556,5851,10396,5448,7207,4188,2516,6857,8006,3491,11376,2652,2298,1703,3326,1715,1051,998,757,555,92,229,2723,1774,1243
Morocco,MAR,2001,118916,52019,12340,16340,9372,8324,6690,9364,5216,7367,4934,2470,6921,5706,3463,7901,2177,1347,1438,3173,2230,1802,564,666,1859,267,486,3301,1324,649
Morocco,MAR,2002,105117,63609,11275,14402,10069,7875,5984,9399,5601,6699,4051,2952,2035,9504,3789,6847,1618,1711,1345,3338,2206,1237,480,584,740,242,539,2651,893,974
Morocco,MAR,2003,84727,54954,14003,15517,11764,8597,6064,8132,5942,6726,3602,2828,3164,7926,4245,7950,1608,1746,1162,4475,2052,2002,623,921,2748,392,452,2521,141,1015
Morocco,MAR,2004,91489,58529,11727,18312,12468,9253,6085,8658,5746,7289,4972,2420,1709,6997,3229,7109,1754,1074,922,4391,3036,2418,410,751,1593,274,658,1896,39,684
Morocco,MAR,2005,113043,61578,15070,15827,12433,9376,6245,8234,5874,5846,4579,3265,2469,5587,2271,7235,1755,767,1051,4034,2329,3538,419,1068,2093,296,800,1601,37,687
Morocco,MAR,2006,87311,60205,13839,16721,12121,8636,7306,10001,5565,5235,5140,3305,1312,4780,2709,5751,1281,664,752,5108,2495,2449,253,887,2332,203,1201,1421,49,411
Morocco,MAR,2007,83676,52858,10154,17231,13843,9545,5895,7714,6041,5599,4351,2313,500,2270,2634,6311,855,541,612,4728,2913,3512,211,942,3487,222,867,918,42,345
Morocco,MAR,2008,93241,54690,8401,13214,12042,9304,7270,8860,5145,6207,4004,3142,38,4002,1792,5030,613,308,566,5384,2098,2665,159,896,5514,703,1124,537,50,200
Morocco,MAR,2009,89263,54531,9880,18271,16665,10907,6876,8727,5344,6793,4869,2037,47,3705,766,6571,236,180,361,6414,2639,2501,54,949,2557,259,824,417,31,126
Morocco,MAR,2010,77423,57597,10575,18590,13947,9454,6777,9341,5670,6307,5191,3275,28,1529,790,5578,35,38,352,6111,3038,4645,37,1381,2628,277,1389,40,39,35
Morocco,MAR,2011,97999,58255,8994,18230,12964,11482,9408,8568,4614,4220,4965,2768,31,1303,335,3769,39,45,284,6060,2524,2742,37,1152,3991,972,1087,42,30,39
Morocco,MAR,2012,99484,61645,7942,19820,14765,11068,7643,8304,7448,5375,5611,1966,23,848,29,3508,40,40,131,6767,2885,3689,40,1399,5332,713,1437,24,51,39
Morocco,MAR,2013,82192,49448,6231,18837,16767,12520,7547,8786,6124,6336,6028,2808,33,177,26,2420,29,42,39,8437,2952,3870,38,1048,5028,830,1469,36,38,33
Morocco,MAR,2014,83783,59114,7174,18623,18072,12774,6951,8183,6471,5362,5268,2591,48,36,35,2348,49,18,46,7330,3378,3560,24,1197,1850,351,839,28,28,42
Morocco,MAR,2015,97836,60117,6655,18149,18893,12428,7569,7802,6399,5564,5044,2860,25,51,37,3194,43,42,37,6723,3007,4552,31,1503,4886,370,1090,29,38,25
Morocco,MAR,2016,88362,54230,7295,17649,20799,11291,8366,7221,6251,5464,4623,2538,43,52,33,2681,30,35,34,6981,2152,3255,40,1389,2035,388,2253,41,36,39
Morocco,MAR,2017,83829,54408,4908,18106,19247,11349,8130,8140,6827,4128,4352,2226,45,24,30,2050,34,35,46,7301,2699,5641,42,1343,2127,1221,1288,32,28,28
Morocco,MAR,2018,78705,56478,5355,17448,21053,13882,8712,8306,6028,4829,4439,2322,41,22,28,1167,39,37,34,7141,2097,5168,30,1666,2220,923,1510,42,42,38
Morocco,MAR,2019,95252,65918,3937,15959,15802,10015,8589,8091,5582,4507,3723,2674,32,25,43,853,24,37,36,8776,2819,4381,40,1330,2555,1165,1584,35,41,38
Myanmar,MMR,1990,124739,71227,29856,24786,4848,7227,5201,15717,8822,11041,6435,4183,22785,22685,11246,26268,7155,6437,3581,52,1413,71,2170,441,90,77,63,12055,7787,3631
Myanmar,MMR,1991,138019,77114,26259,25853,6250,7481,6060,15043,7532,12496,6791,3682,17413,17108,12484,23069,8386,4523,3215,444,1619,54,1748,550,90,79,31,14490,7874,3320
Myanmar,MMR,1992,163581,86525,29172,23917,7733,8890,5778,13001,7562,11071,8335,4663,12440,18534,11456,18920,5777,5210,3104,955,1736,55,1676,708,67,49,56,8537,9815,3585
Myanmar,MMR,1993,150571,74936,30432,26006,8149,7129,6146,15615,6734,13054,6767,3851,15359,12405,5130,20453,5579,4309,3267,1219,2180,276,1496,686,27,35,59,10445,7898,3153
Myanmar,MMR,1994,101766,82561,34088,24189,8042,7638,5915,13105,8389,10121,5939,5612,12129,16994,7702,18110,5866,3717,2673,1617,1879,429,1811,751,61,58,44,5709,5421,1858
Myanmar,MMR,1995,139428,73629,28488,23206,8441,8853,7976,15258,7929,11327,6430,2989,9650,9146,9973,18095,7173,3669,3336,2123,1935,1064,2061,890,135,73,66,9504,7477,2123
Myanmar,MMR,1996,140834,78551,25106,20571,9476,13393,6773,14705,7054,11519,7550,3990,6517,18784,8621,14721,5370,3742,2699,2446,2554,796,1547,790,965,55,108,6020,5178,2134
Myanmar,MMR,1997,123210,79173,21477,23285,10097,8139,8201,12919,8593,9106,6922,4467,11596,6615,8119,14516,6342,2734,2617,3136,2103,946,1295,971,640,62,230,6545,5918,1792
Myanmar,MMR,1998,132757,92549,26037,19352,11824,11837,8788,15886,5877,7581,5372,4180,7938,12016,8343,13154,5641,3449,2725,3676,2547,1958,1344,915,739,100,331,7466,4351,2169
Myanmar,MMR,1999,174646,87617,18158,25217,13485,12323,6849,14661,7835,10003,7131,3695,9394,5805,7727,14141,2376,3626,2407,4191,3207,1745,1361,1168,1553,577,396,6863,3260,1547
Myanmar,MMR,2000,131222,85563,20568,23431,14076,11460,7409,12516,8033,8820,6409,4172,6818,13049,5652,15745,4399,2564,2492,4035,2374,2370,1133,1072,1336,251,493,4822,1664,1310
Myanmar,MMR,2001,116492,86569,23863,23076,13726,10630,8286,13655,9434,8594,5983,4064,7876,8342,6103,12204,3624,2440,2419,4508,2588,2041,836,1296,2254,162,612,4704,1864,1385
Myanmar,MMR,2002,139527,84702,19745,21451,14529,10472,8773,12512,7530,9160,7441,4129,9529,12914,5380,15827,3713,2188,2181,4683,2509,3463,848,957,3487,295,830,3709,935,1117
Myanmar,MMR,2003,149049,82134,14997,22693,14190,11038,8979,13855,8896,10077,7093,5926,4362,9633,4422,11351,3626,2240,1901,6181,3187,2930,804,1584,2454,621,735,3813,219,1068
Myanmar,MMR,2004,143489,89786,16212,23447,20920,12275,9972,13097,7622,10448,6828,3368,5109,4335,5169,8776,2590,1142,1465,6435,3180,2442,729,1106,3030,1355,1081,3499,57,936
Myanmar,MMR,2005,136693,70343,14429,25932,15677,17510,8690,12575,7200,11213,6070,2910,3121,7381,1890,9413,2145,1369,1496,6652,3101,4660,477,1330,3939,988,1592,3095,58,792
Myanmar,MMR,2006,136869,91830,15937,28284,19096,15113,10227,12873,7682,8689,6285,5613,2319,4749,4029,9900,1645,1104,975,7679,2952,3498,441,1565,3402,297,795,2137,27,519
Myanmar,MMR,2007,136647,90967,14401,23547,19796,13518,10765,13636,9721,7816,6964,5043,375,4300,3548,10812,1314,665,1150,6538,2348,5006,251,1694,3858,1062,689,1746,61,508
